galaxy_id,r_kpc,v_obs_kms,v_err_kms,v_bar_kms,delta_v2_kms2,model_name,knot_count,k_tau,tau_gradient_model,tau_profile_model,v_tau_squared,negative_vtau2_flag,v_tau_kms,v_model_kms,residual_kms,residual_v2_kms2,fit_mask,source_id,data_quality_flag,notes
M33,0.24,37.3,6.2,16.50178681841877,1118.9810317994602,tdf_lowparam_3knot,3,1.0,2034.340807580847,0.0,488.24179381940326,False,22.09619410259159,27.57808481421331,9.721915185786688,630.739237980057,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,0.28,37.9,5.5,26.9073094214312,712.4066996993596,tdf_lowparam_3knot,3,1.0,2034.340807580847,81.37363230323395,569.6154261226372,False,23.86661740009751,35.96691154969075,1.9330884503092491,142.791273576722,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,0.46,47.1,3.9,36.3904007428605,894.1487337740182,tdf_lowparam_3knot,3,1.0,2034.340807580847,447.5549776677864,935.7967714871896,False,30.590795535376152,47.540067708336004,-0.4400677083360023,-41.64803771317156,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,0.64,53.5,2.8,38.18124282002334,1404.4426967184158,tdf_lowparam_3knot,3,1.0,2012.930339089355,811.8093808681045,1288.2754170171872,False,35.89255378232632,52.40307930168581,1.096920698314193,116.16727970122838,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,0.73,55.1,3.3,39.383780044757984,1484.9278693861231,tdf_lowparam_3knot,3,1.0,2002.2251048436087,992.4913758450879,1461.6243265358344,False,38.23119572464134,54.88812674112418,0.2118732588758192,23.303542850288522,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,0.82,58.5,2.5,41.35599612580792,1711.9315844421603,tdf_lowparam_3knot,3,1.0,1991.5198705978626,1172.209899739954,1633.0462938902472,False,40.4109674951027,57.82183592249633,0.6781640775036735,78.88529055191339,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,1.08,66.2,3.3,49.707405837250846,1911.613804930841,tdf_lowparam_3knot,3,1.0,1960.593638332374,1685.984655900885,2117.441129398964,False,46.0156617837771,67.73675017645978,-1.5367501764597762,-205.82732446812315,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,1.22,69.4,2.8,49.69581740392489,2346.685732555756,tdf_lowparam_3knot,3,1.0,1943.94105172788,1959.3020842051026,2371.6080831080135,False,48.699158956885626,69.57932415992741,-0.17932415992740403,-24.92235055225774,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,1.45,74.6,5.0,54.06927702858166,2641.6732816064905,tdf_lowparam_3knot,3,1.0,1916.58323087764,2403.262376704737,2779.045684772578,False,52.71665471909782,75.51511374000629,-0.9151137400062908,-137.37240316608677,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
M33,1.71,77.9,2.9,55.83537070326701,2950.8213784287527,tdf_lowparam_3knot,3,1.0,1885.6569986121513,2897.55360653841,3224.4734676267785,False,56.784447409715796,79.63706479521974,-1.7370647952197373,-273.65208919802717,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.
